"Front";"Back"
"What is an Inverted Index?";"Maps terms → document IDs that contain them. Instead of scanning every document for a query term, you look it up and get the matching docs instantly.

Structure:
  index[""polic""] → {1, 5, 99}
  index[""movi""]  → {1, 7, 99}

Forward index answers: ""What words are in doc X?""
Inverted index answers: ""What docs contain word X?""

Search engines use inverted indexes because queries ask for documents by term, not the other way around."
"What is a Posting List?";"The list of document IDs stored for a term in the inverted index. When you look up a term, you get its posting list.

Example:
  term ""polic"" → posting list [1, 5, 99]
  term ""movi""  → posting list [1, 7, 99]

Posting lists are kept sorted by doc ID — this enables efficient intersection (AND queries) using a linear merge instead of nested loops."
"What is Tokenization in a search engine?";"Splitting raw text into individual units (tokens) for indexing and querying. Both documents and queries go through the same tokenization so they use the same vocabulary.

Example:
  ""The police ran fast"" → [""the"", ""police"", ""ran"", ""fast""]

Implementation:
  tokens = text.split()  # splits on any whitespace, ignores empty strings"
"What are Stopwords and why remove them?";"Stopwords are common words with little semantic meaning: ""the"", ""is"", ""a"", ""in"", etc.

Why remove them:
- They appear in almost every document → low discriminative power
- They inflate the index size
- They add noise to matching

Example:
  ""the police ran fast"" → remove stopwords → [""police"", ""ran"", ""fast""]

Implementation: load from a file, check membership before indexing each token."
"What is Stemming and why use it in search?";"Stemming reduces words to their root form so that different grammatical forms of the same word match each other.

Examples (Porter Stemmer):
  ""running"" → ""run""
  ""movies""  → ""movi""
  ""police""  → ""polic""

Why it matters:
  A query for ""running"" should match documents about ""run"" or ""runs"".
  Stemming improves recall (finding more relevant results).

Trade-off: loses tense and plurality nuance (""ran"" ≠ ""run"" after stemming in some cases)."
"What is Term Frequency (TF)?";"TF = how many times a term appears in a specific document. A higher TF means the term is more central to that document's topic.

Example:
  ""police"" appears 3 times in doc 5 → TF(""police"", doc5) = 3

Implementation: after tokenizing a document, count each token using a Counter.

  from collections import Counter
  term_frequencies[doc_id].update(tokens)  # counts all tokens at once

Used in: TF-IDF and BM25 scoring."
"What is Document Frequency (DF)?";"DF = the number of documents in the corpus that contain a given term.

Examples:
  DF(""the"")   ≈ N  (appears in almost all docs → low signal)
  DF(""heist"") = 3  (appears in few docs → high signal)

Used in: IDF and BM25 IDF calculations.

  df = len(index.get_documents(term))  # length of the posting list"
"What is IDF (Inverse Document Frequency) and what formula do we use?";"IDF measures how rare a term is across all documents. Rare terms are more informative for search.

Formula (with smoothing):
  IDF = log( (N + 1) / (df + 1) )

  N  = total number of documents
  df = number of documents containing the term
  +1 = smoothing to avoid division by zero

Interpretation:
  Common term (""the""):  df ≈ N → IDF ≈ 0   (not useful)
  Rare term (""heist""):  df = 3 → IDF is high (strong signal)

Implementation:
  idf = math.log((len(docmap) + 1) / (len(docs) + 1))"
"What is IDF smoothing and why do we add +1?";"Adding a small constant to numerator and denominator before computing IDF.

Without smoothing:    IDF = log(N / df)
With smoothing:       IDF = log((N + 1) / (df + 1))

Problems smoothing solves:
1. df = 0 (term not in any doc) → division by zero without smoothing
2. df = N (term in every doc)   → log(1) = 0, which is fine, but df+1 keeps it consistent
3. Reduces extreme values at the edges"
"What is TF-IDF and when is the score high?";"TF-IDF scores how important a term is to a specific document relative to the whole corpus.

Formula:
  TF-IDF = TF × IDF

Score is HIGH when:
  - Term appears often in this document (high TF)
  - Term is rare across all documents (high IDF)
  → The term is uniquely characteristic of this document

Score is LOW when:
  - Term is common everywhere (low IDF, e.g. ""the"") — even if TF is high
  - Term barely appears in the document (low TF)

Implementation:
  tf  = inverted_index.get_tf(doc_id, term)
  idf = idf_command(term)
  tf_idf = tf * idf"
